player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"McIlroy, Rory",150,1.952,0.000,34,-0.009,-0.075,-0.099,0.214,0.039,-0.004,0.016,-0.060,-0.048,1.974,2.858,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Henley, Russell",150,1.294,0.000,34,-0.010,-0.076,-0.092,0.079,0.216,0.001,-0.090,-0.057,-0.146,1.265,2.811,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"An, Byeong Hun",150,0.979,0.000,32,0.001,-0.001,-0.017,0.200,0.095,-0.002,0.047,-0.040,0.005,1.262,2.867,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Young, Cameron",150,1.016,0.000,26,0.026,0.003,-0.012,0.198,-0.007,-0.002,0.006,-0.023,-0.020,1.204,2.892,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Poston, J.T.",150,1.366,0.000,30,0.008,-0.059,-0.007,-0.124,0.054,0.000,-0.016,-0.084,-0.099,1.139,2.824,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Kim, Tom",150,1.186,0.000,21,0.048,0.061,-0.075,0.078,-0.041,0.000,-0.064,-0.059,-0.123,1.133,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Cole, Eric",150,1.247,0.000,35,-0.013,0.067,-0.098,-0.081,0.028,0.000,-0.007,-0.068,-0.075,1.073,2.829,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Fitzpatrick, Matt",150,1.146,0.000,29,0.014,0.001,-0.092,0.087,-0.025,-0.001,-0.004,-0.066,-0.071,1.061,2.849,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Conners, Corey",150,0.923,0.000,32,0.002,-0.018,-0.035,0.248,-0.018,-0.000,-0.073,-0.008,-0.081,1.020,2.842,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Im, Sungjae",150,0.960,0.000,25,0.029,0.026,-0.073,0.100,0.055,-0.000,-0.032,-0.056,-0.088,1.011,2.843,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Lee, Min Woo",150,0.941,0.000,25,0.031,-0.011,-0.181,0.165,-0.008,-0.003,0.055,-0.043,0.009,0.946,2.895,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hossler, Beau",150,0.971,0.000,28,0.016,-0.052,-0.018,0.013,0.044,-0.001,0.005,-0.055,-0.051,0.922,2.856,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Jaeger, Stephan",150,0.822,0.000,34,-0.009,-0.003,0.052,0.059,0.011,-0.001,0.020,-0.040,-0.021,0.910,2.816,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"List, Luke",150,0.775,0.000,39,-0.028,0.003,0.058,-0.045,0.071,-0.001,0.026,-0.008,0.016,0.849,2.858,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Mitchell, Keith",150,0.542,0.000,32,0.002,-0.037,0.131,0.155,0.064,-0.002,-0.012,-0.004,-0.017,0.840,2.827,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Kirk, Chris",150,0.676,0.000,38,-0.027,-0.056,-0.025,0.124,0.166,0.000,-0.024,-0.030,-0.054,0.804,2.849,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Straka, Sepp",150,0.816,0.000,30,0.008,0.015,-0.099,0.001,0.132,-0.000,-0.057,-0.022,-0.078,0.794,2.902,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Svensson, Adam",150,0.632,0.000,30,0.011,0.053,-0.040,0.116,0.046,-0.000,-0.053,-0.020,-0.073,0.745,2.858,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Bezuidenhout, Christiaan",150,0.859,0.000,29,0.012,-0.003,0.069,-0.138,0.011,0.001,-0.026,-0.063,-0.087,0.722,2.806,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"McCarthy, Denny",150,0.953,0.000,30,0.007,0.016,-0.053,-0.161,0.031,0.001,-0.024,-0.072,-0.095,0.698,2.838,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hoge, Tom",150,0.776,0.000,34,-0.009,-0.016,0.084,-0.109,-0.016,0.000,-0.002,-0.044,-0.045,0.666,2.878,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Ghim, Doug",150,0.494,0.000,27,0.021,-0.016,0.137,0.145,-0.037,0.000,-0.073,-0.016,-0.089,0.655,2.885,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Lowry, Shane",150,0.715,0.000,36,-0.019,0.022,-0.132,0.010,0.114,-0.000,-0.039,-0.021,-0.060,0.649,2.840,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Noren, Alex",150,0.725,0.000,41,-0.039,0.053,-0.092,0.017,0.044,0.000,-0.008,-0.055,-0.062,0.645,2.811,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Van Rooyen, Erik",150,0.530,0.000,34,-0.006,0.034,0.122,0.011,-0.052,-0.001,-0.001,-0.006,-0.008,0.632,2.891,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hojgaard, Rasmus",150,0.823,-0.102,22,0.042,-0.054,-0.056,0.012,-0.041,-0.002,0.047,-0.049,-0.005,0.619,2.855,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Pavon, Matthieu",150,0.873,0.024,31,0.006,0.011,-0.115,-0.109,-0.041,-0.000,-0.002,-0.044,-0.047,0.602,2.888,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hubbard, Mark",150,0.600,0.000,34,-0.009,-0.015,0.064,-0.059,0.081,0.001,-0.032,-0.040,-0.071,0.589,2.824,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Schenk, Adam",150,0.610,0.000,32,0.002,0.031,-0.092,-0.029,0.077,-0.001,0.012,-0.029,-0.018,0.582,2.848,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Knapp, Jake",150,0.466,0.000,29,0.012,0.006,0.084,0.008,-0.041,-0.002,0.049,-0.018,0.029,0.565,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Thompson, Davis",150,0.465,0.000,24,0.035,0.035,0.092,-0.031,-0.041,-0.001,0.016,-0.026,-0.011,0.544,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Olesen, Thorbjorn",150,0.828,-0.066,34,-0.007,-0.028,0.063,-0.205,-0.024,-0.000,0.014,-0.052,-0.038,0.523,2.861,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Bhatia, Akshay",150,0.417,0.000,22,0.046,0.088,-0.128,0.147,-0.007,-0.001,-0.042,-0.003,-0.046,0.519,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Detry, Thomas",150,0.392,0.000,31,0.007,-0.015,0.043,0.097,-0.038,-0.001,0.013,-0.019,-0.007,0.477,2.921,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Glover, Lucas",150,0.554,0.000,44,-0.051,-0.019,-0.060,-0.030,0.158,0.001,-0.089,0.004,-0.084,0.468,2.869,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Berger, Daniel",150,0.590,0.000,30,0.008,-0.061,-0.244,0.100,0.122,0.000,-0.056,-0.011,-0.066,0.448,2.831,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hisatsune, Ryo",150,0.522,0.015,21,0.049,0.064,-0.030,-0.080,-0.041,0.000,-0.025,-0.038,-0.063,0.437,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Griffin, Ben",150,0.581,0.000,27,0.021,0.054,-0.038,-0.179,-0.000,0.000,0.029,-0.053,-0.024,0.414,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"McNealy, Maverick",150,0.295,0.000,28,0.019,-0.032,0.182,-0.061,0.004,-0.001,0.043,-0.049,-0.007,0.399,2.825,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Wallace, Matt",150,0.402,0.000,33,-0.005,0.033,0.022,-0.093,0.030,-0.001,0.041,-0.044,-0.003,0.385,2.866,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Todd, Brendon",150,0.729,0.000,38,-0.026,-0.065,-0.008,-0.112,0.020,0.003,-0.093,-0.069,-0.159,0.379,2.837,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Rose, Justin",150,0.699,0.000,43,-0.048,-0.044,-0.184,-0.095,0.085,0.000,-0.010,-0.027,-0.037,0.375,2.881,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Fowler, Rickie",150,0.342,0.000,35,-0.011,0.017,-0.157,0.016,0.160,-0.001,0.015,-0.022,-0.007,0.359,2.842,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Pendrith, Taylor",150,0.212,0.000,32,-0.001,0.031,0.065,-0.006,0.008,-0.002,0.050,-0.007,0.041,0.351,2.875,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Kim, Michael",150,0.385,0.000,30,0.009,-0.013,0.013,-0.073,0.023,-0.000,0.027,-0.031,-0.004,0.339,2.862,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Young, Carson",150,0.123,0.000,29,0.015,0.069,0.105,0.072,0.009,0.001,-0.063,0.004,-0.058,0.335,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Sigg, Greyson",150,0.190,0.000,29,0.016,0.046,0.094,0.066,-0.030,0.001,-0.030,-0.017,-0.047,0.334,2.824,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Eckroat, Austin",150,0.280,0.000,25,0.033,0.045,0.046,-0.019,-0.023,0.000,-0.040,-0.012,-0.052,0.309,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Kim, Chan",150,0.093,0.000,33,-0.006,0.011,0.157,0.052,-0.041,-0.000,-0.028,0.014,-0.015,0.251,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Kim, Seonghyeon",150,0.063,0.000,25,0.031,0.079,0.051,0.038,-0.021,-0.001,0.025,-0.019,0.005,0.247,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Lower, Justin",150,0.146,0.000,34,-0.010,0.024,0.119,-0.002,-0.010,0.001,-0.012,-0.011,-0.023,0.245,2.809,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Fox, Ryan",150,0.297,0.000,37,-0.020,-0.034,-0.031,-0.009,-0.041,-0.002,0.085,-0.011,0.073,0.236,2.909,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Norrman, Vincent",150,-0.135,0.000,26,0.028,0.029,-0.091,0.378,-0.013,-0.002,0.004,0.036,0.038,0.233,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hadley, Chesson",150,0.342,0.000,36,-0.017,-0.078,0.067,-0.168,0.067,0.000,0.019,-0.015,0.004,0.217,2.829,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Woodland, Gary",150,0.228,0.000,39,-0.031,0.008,-0.154,-0.033,0.147,-0.002,0.027,0.026,0.051,0.216,2.851,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Hodges, Lee",150,0.207,0.000,28,0.017,0.076,-0.078,-0.019,0.033,-0.000,-0.027,-0.001,-0.028,0.209,2.893,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Wu, Brandon",150,0.203,0.000,27,0.025,-0.033,0.086,-0.050,0.003,0.000,-0.017,-0.007,-0.024,0.209,2.853,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Smalley, Alex",150,-0.031,0.000,27,0.023,0.041,-0.044,0.213,-0.013,-0.001,0.001,0.016,0.017,0.205,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Horschel, Billy",150,0.359,0.000,37,-0.020,-0.103,-0.077,-0.039,0.127,0.000,-0.026,-0.018,-0.043,0.202,2.882,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Yu, Kevin",150,-0.125,0.000,25,0.031,0.072,-0.038,0.248,-0.041,-0.002,-0.005,0.039,0.033,0.180,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Lashley, Nate",150,0.191,0.000,41,-0.038,0.016,0.044,-0.026,0.002,0.001,-0.026,-0.014,-0.040,0.149,2.796,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Stevens, Samuel",150,-0.009,0.000,27,0.022,0.010,0.030,0.049,0.002,-0.001,0.036,0.007,0.041,0.145,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Duncan, Tyler",150,-0.017,0.000,34,-0.009,0.000,0.038,0.095,0.090,0.000,-0.076,0.022,-0.054,0.144,2.887,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Montgomery, Taylor",150,0.471,0.000,29,0.015,0.009,-0.015,-0.312,-0.041,-0.000,0.066,-0.057,0.008,0.136,2.852,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Wu, Dylan",150,0.069,0.000,27,0.022,0.080,0.021,-0.064,0.039,0.000,-0.019,-0.014,-0.033,0.134,2.846,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Bramlett, Joseph",150,0.044,0.000,35,-0.014,0.030,-0.040,0.055,-0.023,-0.002,0.059,0.010,0.067,0.119,2.808,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Ryder, Sam",150,0.248,0.000,34,-0.007,-0.034,-0.068,-0.059,0.063,0.001,-0.017,-0.015,-0.031,0.112,2.809,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Lee, Kyounghoon",150,0.044,0.000,32,0.000,-0.037,0.043,0.001,0.051,-0.000,0.009,-0.014,-0.005,0.096,2.858,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Valimaki, Sami",150,-0.005,-0.068,25,0.031,-0.018,0.100,0.093,-0.041,-0.001,-0.008,0.002,-0.006,0.085,2.933,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Gotterup, Chris",150,-0.056,0.000,24,0.035,0.022,-0.037,0.051,-0.041,-0.003,0.078,0.018,0.093,0.066,2.876,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
"Novak, Andrew",150,-0.222,0.000,28,0.016,0.013,0.104,0.068,0.046,-0.000,0.009,-0.002,0.007,0.032,2.859,"Cognizant Classic in The Palm Beaches","PGA National Resort (The Champion)"
